freq,ipc,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
A,MGE,NR,SG	: 	: 	: 	: 	: 	0.33 	: 	: 	: 	0.2 	1.3 	: 	2.25 	0.48 	1.67 	4.67 	0.25 	7.06 	7.07 	8.17 	15.54 	10.68 	10.81 	21.53 	29.62 	31.11 	29.47 	22.08 	33.77 	41.72 	23.02 	18.24 	40.31 	28.93 p
A,MGE,NR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	2.67 	4.63 	1 	0.57 	5 	: 	1.58 	3.76 	4.6 	0.33 	1 	1.5 	4.71 	2 	6.2 	6.17 	5 	3.83 	4 	1.22 p
A,MGE,NR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.67 	: 	1.53 	1 	: 	1.25 	1.5 	2.92 	1.13 	1.67 	7.92 	0.4 	0.92 	0.6 	2.69 	: 	0.33 	: 	1 	3 	0.27 	1.5 p
A,MGE,NR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.11 	0.5 	: 	0.58 	0.5 	: 	0.2 	: 	0.5 	: 	0.33 	0.33 	0.76 	3.25 	1 	0.92 	0.5 	1 	0.71 	0.33 	2 	1.17 	1 	2 p
A,MGE,NR,TW	: 	: 	: 	: 	: 	: 	: 	0.5 	2 	1 	0.25 	0.2 	5.14 	1.5 	0.67 	2.5 	2.12 	2 	7.86 	5 	5.3 	17.15 	20.18 	13.37 	23.58 	5.46 	16.9 	17.82 	11.23 	16.98 	22.14 	17.36 	26.58 	19.89 p
A,MGE,NR,UK	38.33 	45.5 	40.38 	86.57 	94.93 	98.94 	132.88 	131.85 	149.34 	163.81 	160.8 	187.1 	167.64 	178.89 	207.08 	223.89 	256.33 	378 	421 	468.56 	411.68 	407.48 	355.67 	265.14 	211.85 	245.16 	205.1 	200.36 	184.15 	179.29 	159.58 	171.64 	178.94 	132.07 p
A,MGE,NR,US	145.94 	176.84 	281.7 	433.69 	564.18 	623.58 	701.43 	792.25 	982.01 	1080.19 	1141.58 	1153.61 	1127.63 	1355.29 	1448.47 	1727.37 	2063.47 	2557.93 	2905.07 	3191.25 	3507.8 	3150.93 	2811.96 	2663.91 	2277.52 	2046.96 	1979.81 	1821.83 	1732.04 	1553.17 	1579.59 	1506.68 	1614.49 	1227.26 p
A,MGE,NR,WORLD	449.2 	526 	706 	1048 	1354.5 	1459 	1670 	1861 	2167 	2362.167 	2421.722 	2439 	2450 	2676.5 	3014.64 	3456 	4052.917 	5035.867 	5832.5 	6756.625 	7314.685 	7085.369 	6626.524 	6101.25 	5568 	5317 	5086 	5022 	4640.214 	4360.8 	4350 	4253.125 	4203.929 	3173.875 p
A,MGE,NR,ZA	: 	: 	2 	1 	1 	1 	: 	: 	: 	1 	: 	1 	: 	1 	1.67 	7 	0.33 	0.33 	3.5 	1.25 	4.08 	5.42 	6.83 	1.39 	5 	8.3 	5.48 	6.08 	8.15 	3.5 	5.61 	5.78 	2.73 	4 p
A,MGE,P_MACT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.634 	4.939 	6.851 	6.277 	7.468 	10.92 	11.968 	16.721 	8.777 	14.674 	9.501 	11.023 	10.33 	15.942 	11.012 	10.953 	10.587 	14.045 	12.066 	4.456 p
A,MGE,P_MACT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.617 	10.283 	12.277 	11.437 	12.917 	18.822 	28.978 	36.098 	22.327 	21.666 	22.674 	21.421 	19.243 	20.537 	24.621 	24.961 	15.587 	15.541 	13.979 	14.399 	11.697 	9.208 p
A,MGE,P_MACT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.423 	: 	: 	0.304 	: 	0.482 	: 	: 	0.211 	0.094 	: 	: 	: 	: 
A,MGE,P_MACT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.105 	: 	2.919 	: 	: 	: 	2.542 	: 	3.709 	2.371 	: 	: 	: 
A,MGE,P_MACT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.378 	0.346 	0.389 	0.498 	0.392 	0.967 	0.782 	0.493 	0.787 	1 	0.491 	1.126 	0.475 	0.67 	0.609 	0.848 p
A,MGE,P_MACT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.007 	4.953 	6.221 	7.125 	9.078 	11.014 	13.147 	17.673 	21.236 	21.496 	21.521 	16.344 	15.931 	13.756 	13.05 	13.15 	12.799 	10.958 	11.476 	10.487 	10.153 	7.089 p
A,MGE,P_MACT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.81 	25.782 	23.889 	30.04 	27.163 	37.711 	45.875 	42.515 	47.703 	39.664 	44.291 	48.845 	48.873 	39.2 	29.763 	36.985 	31.836 	25.601 	26.306 	29.981 	34.464 	25.766 p
A,MGE,P_MACT,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.279 	8.788 	11.007 	11.793 	11.907 	11.135 	9.296 	9.182 	8.779 	8.872 	8.9 	8.474 	7.847 	7.65 	7.525 	6.91 	5.143 p
A,MGE,P_MACT,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.682 	10.879 	11.665 	11.783 	11.013 	9.199 	9.086 	8.693 	8.798 	8.829 	8.407 	7.796 	7.59 	7.477 	6.886 	5.109 p
A,MGE,P_MACT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.495 	2.673 	0.248 	6.151 	1.204 	2.973 	: 	2.046 	4 	5.036 	1.441 	5.05 	4.474 	8.28 	2.561 	1.47 p
A,MGE,P_MACT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.25 	0.532 	0.341 	0.078 	0.117 	0.465 	0.332 	0.607 	0.658 	0.516 	1.418 	0.877 	0.839 	0.608 	0.402 	0.893 	0.1 	0.728 	0.161 	0.269 	0.384 	0.103 p
A,MGE,P_MACT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.908 	0.416 	1.308 	0.837 	1.458 	1.097 	1.199 	2.019 	1.553 	2.549 	2.133 	2.201 	2.899 	3.397 	3.02 	2.883 	3.319 	3.197 	3.016 	3.627 	2.812 	3.304 p
A,MGE,P_MACT,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.789 	8.143 	7.807 	7.577 	7.332 	7.456 	6.964 	6.517 	6.315 	6.35 	6.011 	4.469 p
A,MGE,P_MACT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.346 	4.441 	7.004 	8.465 	6.666 	9.704 	11.089 	12.847 	10.666 	12.308 	9.247 	10.401 	13.746 	11.767 	7.987 	12.412 	12.401 	9.933 	13.257 	12.545 	7.978 	6.853 p
A,MGE,P_MACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.517 	5.94 	7.252 	6.784 	7.142 	8.902 	11.39 	13.208 	12.708 	13.143 	10.757 	9.736 	9.185 	8.415 	10.74 	10.419 	10.935 	10.106 	10.247 	9.551 	8.941 	6.464 p
A,MGE,P_MACT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.184 	0.11 	0.182 	0.899 	0.088 	0.346 	0.258 	: 	: 	: 	: 
A,MGE,P_MACT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.958 	0.968 	0.311 	3.417 	1.941 	2.798 	1.098 	1.021 	1.283 	1.13 	1.5 	0.99 	1.231 	0.519 	1.349 	2.821 	1.502 	0.981 p
A,MGE,P_MACT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.661 	0.36 	2.337 	5.508 	4.115 	3.924 	6.679 	10.76 	5.623 	12.356 	5.818 	4.259 	3.497 	5.402 	6.751 	7.162 	8.289 	4.8 	4.503 	9.742 	6.829 	4.918 p
A,MGE,P_MACT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.988 	22.981 	16.585 	16.213 	72.383 	56.195 	16.741 	9.76 	28.011 	5.599 	3.277 p
A,MGE,P_MACT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.054 	1.885 	1.718 	1.93 	2.68 	3.575 	3.64 	3.627 	3.94 	3.584 	3.318 	3.093 	3.793 	3.245 	3.003 	3.332 	3.509 	2.99 	2.509 	2.954 	2.01 p
A,MGE,P_MACT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.292 	0.745 	0.853 	: 	0.409 	: 	0.32 	1.319 	1.537 	1.452 	2.617 	1.317 	2.362 	4.387 	1.365 p
A,MGE,P_MACT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.76 	5.672 	0.938 	0.915 	: 	5.189 	1.028 	10.096 	4.924 	: 	3.166 	: 	2.184 	: 	6.009 	4.944 	4.927 p
A,MGE,P_MACT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.799 	0.542 	2.015 	0.23 	: 	: 	: 	1.182 	: 	: 	: 	: 	1.291 	10.847 p
A,MGE,P_MACT,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.234 	: 	: 	: 	: 	: 	: 	: 	: 
A,MGE,P_MACT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.028 	9.173 	9.355 	12.042 	13.372 	17.179 	15.28 	17.294 	26.144 	18.641 	20.059 	15.902 	19.982 	20.882 	20.341 	17.128 	15.975 	16.213 	13.421 	14.192 	12.738 	9.52 p
A,MGE,P_MACT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.938 	5.921 	12.807 	4.789 	7.46 	7.44 	6.539 	6.983 	5.591 	7.489 	9.345 	4.717 	2.917 	3.33 p
A,MGE,P_MACT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.069 	0.023 	0.049 	0.1 	0.273 	0.159 	0.161 	0.372 	0.175 	0.314 	0.488 	0.478 	0.396 	0.742 	0.98 	0.675 	1.152 p
A,MGE,P_MACT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.041 	0.035 	0.1 	: 	0.198 	0.621 	0.194 	0.58 	0.521 	0.478 	0.4 	1.095 	1.059 	1.414 	0.252 	1.584 	1.551 	1.637 	0.649 	0.792 	0.86 	1.103 p
A,MGE,P_MACT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.069 	0.012 	: 	: 	: 	: 	0.068 	: 	0.102 	: 	0.05 	0.033 	0.101 	: 	0.054 	0.108 	0.109 p
A,MGE,P_MACT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.081 	5.046 	9.997 	11.749 	9.292 	12.566 	16.514 	15.12 	19.504 	16.469 	21.987 	13.998 	11.79 	12.512 	11.073 	12.765 	8.449 	12.339 	10.527 	9.226 	10.144 	6.15 p
A,MGE,P_MACT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.071 	0.597 	5.169 	: 	1.637 	3.851 	4.738 	0.343 	0.993 	1.477 	4.609 	1.933 	5.951 	5.923 	4.801 	3.757 	3.947 	1.211 p
A,MGE,P_MACT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.597 	1.147 	0.437 	0.636 	3.037 	0.153 	0.347 	0.227 	1.013 	: 	0.123 	: 	0.37 	1.12 	0.1 	0.552 p
A,MGE,P_MACT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.022 	0.044 	0.03 	0.014 	0.079 	0.044 	0.037 	0.072 p
A,MGE,P_MACT,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.891 	6.301 	7.304 	7.873 	8.96 	13.134 	14.545 	15.999 	14.236 	14.014 	12.134 	8.977 	7.117 	8.143 	6.685 	6.487 	5.888 	5.705 	5.052 	5.39 	5.569 	4.077 p
A,MGE,P_MHAB,AT	0.265 	0.53 	0.295 	1.454 	1.417 	1.967 	1.548 	2.587 	2.389 	2.441 	2.733 	4.115 	2.963 	3.144 	4.165 	2.394 	3.291 	3.014 	3.592 	5.27 	5.772 	8.126 	4.223 	7.208 	4.539 	5.337 	5.053 	7.937 	5.522 	5.526 	5.35 	7.121 	6.161 	2.286 p
A,MGE,P_MHAB,AU	0.159 	0.235 	0.807 	0.747 	1.205 	1.179 	1.498 	2.325 	1.868 	1.357 	2.29 	1.905 	2.445 	2.037 	2.937 	4.389 	3.25 	4.246 	4.428 	5.571 	5.481 	6.746 	5.755 	5.708 	4.503 	4.646 	4.176 	5.144 	2.742 	3.042 	2.051 	2.409 	2.899 	1.463 p
A,MGE,P_MHAB,BE	1.048 	0.304 	1.048 	1.471 	2.005 	1.466 	1.537 	2.4 	3.563 	2.933 	3.039 	4.078 	4.274 	4.172 	5.041 	4.72 	5.33 	7.798 	12.125 	15.47 	9.583 	9.165 	9.678 	9.169 	8.362 	9.095 	10.885 	11.163 	6.983 	6.938 	6.312 	6.356 	5.158 	4.081 p
A,MGE,P_MHAB,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.114 	: 	0.038 	0.094 	: 	0.119 	0.039 	: 	0.072 	0.049 	0.173 	: 	: 	0.128 	: 	0.208 	: 	: 	0.1 	0.044 	: 	: 	: 	: 
A,MGE,P_MHAB,BR	0.008 	: 	0.001 	: 	0.015 	: 	: 	0.002 	: 	0.01 	0.007 	: 	0.003 	: 	0.003 	0.01 	0.015 	0.057 	0.016 	0.019 	0.055 	0.037 	0.054 	0.045 	0.101 	0.054 	0.046 	0.062 	0.069 	0.062 	0.027 	0.034 	0.045 	: 
A,MGE,P_MHAB,CA	0.306 	0.302 	0.478 	0.411 	0.494 	0.768 	0.457 	0.955 	0.848 	1.233 	0.725 	1.47 	1.812 	1.584 	2.031 	2.957 	4.035 	4.924 	6.271 	6.401 	5.899 	6.435 	4.491 	4.644 	4.26 	6.241 	4.282 	4.071 	3.894 	3.027 	2.404 	3.516 	2.329 	: 
A,MGE,P_MHAB,CH	1.904 	2.294 	2.228 	3.722 	5.526 	5.507 	4.961 	4.541 	6.368 	5.508 	6.022 	7.135 	7.073 	5.64 	6.343 	7.332 	8.183 	12.486 	9.658 	15.988 	14.209 	15.525 	15.176 	12.48 	9.689 	12.093 	8.248 	9.145 	9.573 	7.919 	10.513 	7.741 	7.26 	5.618 p
A,MGE,P_MHAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.434 	: 	1.401 	: 	: 	: 	1.319 	: 	1.882 	1.221 	: 	: 	: 
A,MGE,P_MHAB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.25 	0.097 	0.065 	0.087 	0.019 	0.033 	0.189 	0.174 	0.195 	0.248 	0.196 	0.484 	0.392 	0.25 	0.4 	0.507 	0.248 	0.571 	0.239 	0.334 	0.305 	0.428 p
A,MGE,P_MHAB,DE	1.403 	1.373 	1.249 	1.873 	2.496 	2.63 	3.03 	3.491 	3.557 	3.481 	3.621 	2.493 	2.436 	2.394 	2.995 	3.405 	4.333 	5.255 	6.298 	8.541 	10.23 	10.356 	10.354 	7.869 	7.715 	6.814 	6.534 	6.624 	6.47 	5.555 	5.83 	5.283 	5.13 	3.605 p
A,MGE,P_MHAB,DK	1.009 	0.585 	1.352 	1.564 	1.997 	5.12 	4.697 	4.892 	4.749 	8.269 	8.467 	11.233 	9.866 	14.068 	12.66 	16.004 	14.477 	20.087 	24.356 	22.781 	25.379 	21.259 	23.549 	25.966 	26.239 	20.95 	16.007 	19.789 	17.177 	13.691 	13.899 	15.766 	17.955 	13.29 p
A,MGE,P_MHAB,EA18	0.483 	0.457 	0.516 	0.758 	1.039 	1.061 	1.292 	1.453 	1.631 	1.729 	1.732 	1.777 	1.8 	1.679 	2.139 	2.222 	2.588 	3.227 	3.906 	4.941 	5.328 	5.409 	5.093 	4.295 	4.264 	4.114 	4.186 	4.222 	4.038 	3.731 	3.63 	3.547 	3.274 	2.436 p
A,MGE,P_MHAB,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.756 	1.779 	1.66 	2.114 	2.196 	2.559 	3.192 	3.862 	4.887 	5.273 	5.354 	5.039 	4.252 	4.22 	4.074 	4.151 	4.187 	4.006 	3.707 	3.602 	3.526 	3.264 	2.42 p
A,MGE,P_MHAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.322 	0.443 	: 	0.691 	: 	0.235 	0.237 	1.269 	0.121 	2.994 	0.578 	1.454 	: 	1.008 	2.051 	2.584 	0.747 	2.598 	2.288 	4.287 	1.321 	0.757 p
A,MGE,P_MHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.099 	0.17 	0.096 	0.208 	0.135 	0.031 	0.047 	0.188 	0.14 	0.259 	0.281 	0.223 	0.618 	0.387 	0.377 	0.273 	0.182 	0.403 	0.045 	0.331 	0.073 	0.12 	0.17 	0.045 p
A,MGE,P_MHAB,ES	0.009 	: 	0.013 	0.066 	0.122 	0.026 	0.104 	0.143 	0.121 	0.189 	0.172 	0.259 	0.359 	0.165 	0.522 	0.336 	0.594 	0.454 	0.503 	0.863 	0.683 	1.137 	0.986 	1.039 	1.388 	1.659 	1.494 	1.444 	1.676 	1.608 	1.516 	1.821 	1.408 	1.64 p
A,MGE,P_MHAB,EU28	0.434 	0.435 	0.48 	0.749 	0.96 	1.001 	1.222 	1.332 	1.477 	1.615 	1.612 	1.707 	1.684 	1.662 	2.047 	2.189 	2.459 	3.217 	3.821 	4.59 	4.792 	4.78 	4.534 	3.788 	3.648 	3.568 	3.478 	3.552 	3.336 	3.119 	3.01 	3.013 	2.866 	2.132 p
A,MGE,P_MHAB,FI	0.419 	1.044 	1.455 	: 	0.821 	0.613 	1.358 	2.132 	1.347 	3.793 	3.277 	2.267 	3.657 	2.182 	3.405 	4.132 	3.258 	4.705 	5.412 	6.371 	5.341 	6.188 	4.645 	5.194 	6.83 	5.889 	4.024 	6.292 	6.324 	4.994 	6.619 	6.26 	3.973 	3.38 p
A,MGE,P_MHAB,FR	0.456 	0.501 	0.733 	1.027 	1.592 	1.476 	1.945 	1.608 	2.095 	2.427 	2.133 	2.484 	2.286 	2.461 	3.004 	2.821 	2.978 	3.712 	4.763 	5.575 	5.381 	5.575 	4.573 	4.256 	4.02 	3.681 	4.694 	4.56 	4.792 	4.444 	4.503 	4.178 	3.925 	2.837 p
A,MGE,P_MHAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.108 	0.268 	: 	: 	: 	0.073 	: 	: 	: 	0.077 	0.046 	0.077 	0.376 	0.039 	0.155 	0.116 	: 	: 	: 	: 
A,MGE,P_MHAB,HU	0.187 	0.28 	0.373 	0.67 	0.375 	0.094 	0.188 	0.659 	0.283 	0.293 	0.388 	0.225 	0.321 	0.128 	0.242 	0.097 	0.37 	0.372 	0.122 	1.357 	0.776 	1.123 	0.442 	0.419 	0.527 	0.47 	0.632 	0.414 	0.512 	0.215 	0.566 	1.194 	0.65 	0.429 p
A,MGE,P_MHAB,IE	: 	: 	: 	0.286 	0.094 	: 	0.509 	0.282 	1.225 	1.09 	0.998 	0.454 	1.409 	0.14 	0.929 	2.224 	1.704 	1.674 	2.976 	4.941 	2.631 	5.857 	2.775 	2.038 	1.695 	2.683 	3.434 	3.71 	4.229 	2.367 	2.163 	4.616 	3.21 	2.318 p
A,MGE,P_MHAB,IL	0.258 	0.253 	1.535 	2.435 	3.426 	3.13 	2.538 	3.85 	4.361 	3.654 	3.502 	3.098 	5.99 	5.529 	4.541 	6.554 	6.64 	9.717 	11.582 	11.676 	14.458 	13.892 	12.304 	15.832 	15.831 	10.212 	11.597 	13.998 	8.534 	7.156 	8.96 	6.932 	5.968 	4.318 p
A,MGE,P_MHAB,IN	: 	: 	: 	0.002 	0.001 	0.002 	0.003 	0.001 	0.006 	0.004 	0.006 	0.003 	0.002 	0.004 	0.002 	0.002 	0.004 	0.006 	0.013 	0.009 	0.02 	0.023 	0.029 	0.041 	0.032 	0.035 	0.045 	0.018 	0.031 	0.029 	0.026 	0.026 	0.03 	0.019 p
A,MGE,P_MHAB,IS	: 	: 	: 	: 	: 	1.372 	: 	: 	0.808 	6.748 	2.64 	: 	: 	4.764 	1.886 	: 	: 	5.558 	: 	26.005 	11.468 	15.634 	25.299 	30.575 	12.63 	9.265 	9.337 	42.253 	32.492 	9.394 	5.51 	15.701 	3.129 	1.864 p
A,MGE,P_MHAB,IT	0.089 	0.127 	0.085 	0.215 	0.292 	0.419 	0.481 	0.644 	0.724 	0.462 	0.753 	0.849 	0.803 	0.422 	0.751 	0.684 	0.772 	1.077 	1.452 	1.489 	1.496 	1.638 	1.502 	1.4 	1.307 	1.592 	1.364 	1.257 	1.406 	1.464 	1.242 	1.042 	1.256 	0.85 p
A,MGE,P_MHAB,JP	0.632 	1.021 	1.267 	1.687 	2.07 	2.195 	2.414 	2.586 	2.788 	3.029 	2.943 	2.425 	2.406 	2.54 	2.691 	2.81 	3.582 	3.433 	3.775 	4.888 	5.733 	5.993 	6.529 	5.997 	5.699 	5.513 	4.73 	4.645 	4.082 	4.186 	4.463 	4.168 	3.787 	2.834 p
A,MGE,P_MHAB,KR	: 	: 	: 	: 	0.012 	: 	0.073 	0.048 	0.024 	0.053 	0.093 	0.156 	0.08 	0.373 	0.343 	0.314 	0.36 	0.507 	0.858 	1.267 	1.458 	1.638 	1.496 	1.762 	2.15 	2.064 	2.249 	2.042 	1.619 	2.598 	2.254 	2.129 	1.919 	2.18 p
A,MGE,P_MHAB,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.324 	16.169 	: 	: 	62.471 	30.839 	40.471 	29.828 	29.531 	: 	86.705 	: 	14.217 	: 	9.273 	: 	27.663 	: 	27.146 p
A,MGE,P_MHAB,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.027 	: 	: 	0.092 	: 	0.141 	0.356 	0.401 	: 	0.195 	: 	0.149 	0.608 	0.717 	0.685 	1.256 	0.637 	1.147 	2.151 	0.673 p
A,MGE,P_MHAB,LU	: 	: 	: 	1.368 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.399 	2.369 	0.398 	0.392 	: 	2.252 	0.446 	4.396 	2.168 	: 	1.407 	: 	1.013 	: 	2.774 	2.344 	2.328 p
A,MGE,P_MHAB,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.369 	0.255 	0.948 	0.109 	: 	: 	: 	0.602 	: 	: 	: 	: 	0.65 	5.435 p
A,MGE,P_MHAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.483 	: 	: 	: 	: 	: 	: 	: 	: 
A,MGE,P_MHAB,MX	: 	: 	: 	: 	0.004 	0.01 	0.003 	: 	0.023 	0.007 	0.01 	0.005 	0.006 	0.004 	0.013 	0.041 	0.023 	0.024 	0.039 	0.028 	0.022 	0.019 	0.024 	0.036 	0.003 	0.014 	0.019 	0.027 	0.032 	0.018 	0.019 	0.05 	0.021 	0.02 p
A,MGE,P_MHAB,NL	0.84 	0.375 	0.875 	0.976 	1.048 	1.337 	2.006 	2.639 	3.262 	4.667 	3.978 	3.706 	4.686 	4.29 	4.429 	5.829 	6.574 	8.613 	7.723 	8.816 	13.454 	9.697 	10.547 	8.364 	10.535 	11.013 	10.809 	9.233 	8.677 	8.829 	7.13 	7.435 	6.746 	5.067 p
A,MGE,P_MHAB,NO	0.061 	: 	0.567 	0.08 	0.685 	0.241 	0.721 	0.814 	1.429 	1.256 	0.874 	0.781 	2.223 	1.745 	1.734 	1.61 	1.053 	2.987 	4.781 	3.883 	5.694 	3.084 	6.689 	2.48 	3.86 	3.862 	3.435 	3.726 	3.044 	4.028 	4.99 	2.514 	1.562 	1.778 p
A,MGE,P_MHAB,NZ	: 	: 	: 	0.515 	: 	0.303 	0.302 	0.301 	0.299 	0.396 	0.147 	0.094 	1.302 	0.904 	1.169 	0.302 	2.768 	2.211 	3.007 	4.68 	2.776 	4.394 	5.729 	7.315 	4.981 	5.856 	3.262 	5.654 	4.373 	2.945 	3.503 	1.444 	4.871 	1.682 p
A,MGE,P_MHAB,PL	: 	0.003 	0.028 	: 	: 	0.013 	0.027 	: 	: 	: 	0.022 	0.012 	0.015 	0.024 	0.01 	0.013 	0.038 	0.03 	0.01 	0.022 	0.045 	0.124 	0.072 	0.071 	0.166 	0.079 	0.139 	0.215 	0.213 	0.179 	0.334 	0.443 	0.308 	0.525 p
A,MGE,P_MHAB,PT	0.103 	: 	: 	: 	: 	0.02 	0.033 	: 	: 	0.04 	: 	: 	0.02 	0.017 	0.05 	: 	0.1 	0.317 	0.099 	0.295 	0.268 	0.249 	0.211 	0.575 	0.554 	0.743 	0.133 	0.84 	0.822 	0.859 	0.34 	0.407 	0.439 	0.556 p
A,MGE,P_MHAB,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.035 	0.006 	: 	: 	: 	: 	0.031 	: 	0.047 	: 	0.024 	0.016 	0.049 	: 	0.025 	0.05 	0.05 p
A,MGE,P_MHAB,RU	: 	: 	: 	: 	: 	: 	: 	: 	0.007 	0.007 	: 	0.013 	0.02 	0.08 	0.048 	0.036 	0.051 	0.048 	0.089 	0.136 	0.097 	0.166 	0.079 	0.126 	0.129 	0.127 	0.19 	0.095 	0.06 	0.046 	0.096 	0.065 	0.085 	0.037 p
A,MGE,P_MHAB,SE	1.406 	1.683 	2.022 	2.457 	3.321 	2.817 	2.941 	2.928 	3.215 	3.638 	3.191 	2.484 	3.191 	2.578 	5.049 	5.936 	4.697 	6.306 	8.252 	7.597 	9.89 	8.506 	11.355 	7.234 	6.09 	6.545 	5.832 	6.777 	4.506 	6.543 	5.577 	4.915 	5.413 	3.292 p
